name,dial_visibility
nomos_1/nomos/_without_model/nomos_@_the_loupe_-_club_datum_dunkel_watch_--_774-1.jpg,1
nomos_1/nomos/_without_model/nomos_@_the_loupe_-_club_datum_dunkel_watch_--_774-2.jpg,1
nomos_1/nomos/_without_model/nomos_@_the_loupe_-_club_datum_dunkel_watch_--_774-3.jpg,0
nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-1.jpg,1
nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-2.jpg,1
nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-3.jpg,0
nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-4.jpg,0
nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-5.jpg,1
nomos_1/nomos/_without_model/nomos_beta_11156_ludwig_datum-6.jpg,1
nomos_1/nomos/_without_model/nomos_black_horween_genuine_shell_cordovan-1.jpg,0
nomos_1/nomos/_without_model/nomos_black_horween_genuine_shell_cordovan-2.jpg,0
nomos_1/nomos/_without_model/nomos_black_horween_genuine_shell_cordovan-3.jpg,0
nomos_1/nomos/_without_model/nomos_black_horween_genuine_shell_cordovan-4.jpg,0
nomos_1/nomos/_without_model/nomos_blue_black_woven_textile-1.jpg,0
nomos_1/nomos/_without_model/nomos_blue_black_woven_textile-2.jpg,0
nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-1.jpg,1
nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-2.jpg,1
nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-3.jpg,1
nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-4.jpg,0
nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-5.jpg,1
nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-6.jpg,1
nomos_1/nomos/_without_model/nomos_glashutte_metro_chronometer-7.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette-1.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette-10.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette-11.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette-12.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette-13.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette-14.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette-15.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette-2.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette-3.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette-4.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette-5.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette-6.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette-7.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette-8.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette-9.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-1.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-10.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-11.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-12.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-13.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-14.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-15.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-16.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-2.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-3.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-4.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-5.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-6.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-7.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-8.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_14kt_585_gold_savonette_sprungdeckel_taschenuhr_selten_rar-9.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_800er_silber_taschenuhr-1.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette_800er_silber_taschenuhr-10.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_800er_silber_taschenuhr-11.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_800er_silber_taschenuhr-2.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette_800er_silber_taschenuhr-3.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette_800er_silber_taschenuhr-4.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_800er_silber_taschenuhr-5.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_800er_silber_taschenuhr-6.jpg,1
nomos_1/nomos/_without_model/nomos_glashuette_800er_silber_taschenuhr-7.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_800er_silber_taschenuhr-8.jpg,0
nomos_1/nomos/_without_model/nomos_glashuette_800er_silber_taschenuhr-9.jpg,0
"nomos_1/nomos/_without_model/nomos_glashuette_metro_neomatik_stahl_automatik_glasboden_armband_leder_38mm_ref.1113_box&pap._full_set_neu_mit_zertifikat_ueber_3.180,--1.jpg",1
"nomos_1/nomos/_without_model/nomos_glashuette_metro_neomatik_stahl_automatik_glasboden_armband_leder_38mm_ref.1113_box&pap._full_set_neu_mit_zertifikat_ueber_3.180,--2.jpg",0
"nomos_1/nomos/_without_model/nomos_glashuette_metro_neomatik_stahl_automatik_glasboden_armband_leder_38mm_ref.1113_box&pap._full_set_neu_mit_zertifikat_ueber_3.180,--3.jpg",1
"nomos_1/nomos/_without_model/nomos_glashuette_metro_neomatik_stahl_automatik_glasboden_armband_leder_38mm_ref.1113_box&pap._full_set_neu_mit_zertifikat_ueber_3.180,--4.jpg",1
"nomos_1/nomos/_without_model/nomos_glashuette_metro_neomatik_stahl_automatik_glasboden_armband_leder_38mm_ref.1113_box&pap._full_set_neu_mit_zertifikat_ueber_3.180,--5.jpg",0
"nomos_1/nomos/_without_model/nomos_glashuette_metro_neomatik_stahl_automatik_glasboden_armband_leder_38mm_ref.1113_box&pap._full_set_neu_mit_zertifikat_ueber_3.180,--6.jpg",0
"nomos_1/nomos/_without_model/nomos_glashuette_tangente_neomatik_blau_stahl_automatik_glasboden_36mm_ref.562_box&pap._full_set_neu_mit_zertifikat_ueber_3.240,--1.jpg",1
"nomos_1/nomos/_without_model/nomos_glashuette_tangente_neomatik_blau_stahl_automatik_glasboden_36mm_ref.562_box&pap._full_set_neu_mit_zertifikat_ueber_3.240,--2.jpg",0
"nomos_1/nomos/_without_model/nomos_glashuette_tangente_neomatik_blau_stahl_automatik_glasboden_36mm_ref.562_box&pap._full_set_neu_mit_zertifikat_ueber_3.240,--3.jpg",1
"nomos_1/nomos/_without_model/nomos_glashuette_tangente_neomatik_blau_stahl_automatik_glasboden_36mm_ref.562_box&pap._full_set_neu_mit_zertifikat_ueber_3.240,--4.jpg",1
"nomos_1/nomos/_without_model/nomos_glashuette_tangente_neomatik_blau_stahl_automatik_glasboden_36mm_ref.562_box&pap._full_set_neu_mit_zertifikat_ueber_3.240,--5.jpg",0
"nomos_1/nomos/_without_model/nomos_glashuette_tangente_neomatik_blau_stahl_automatik_glasboden_36mm_ref.562_box&pap._full_set_neu_mit_zertifikat_ueber_3.240,--6.jpg",0
nomos_1/nomos/_without_model/nomos_light_grey_woven_textile-1.jpg,0
nomos_1/nomos/_without_model/nomos_light_grey_woven_textile-2.jpg,0
nomos_1/nomos/_without_model/nomos_lux_weissgold-1.jpg,1
nomos_1/nomos/_without_model/nomos_lux_weissgold-2.jpg,1
nomos_1/nomos/_without_model/nomos_lux_weissgold-3.jpg,0
